t1,t1_prop,t1_age,unit_id,unit_id_2,section_id
141,0.25,321.2,1,0,1
141,0,323.2,2,1,1
142,0.375,329.32,3,2,1
142,0.25,330.55,4,3,1
142,0.125,331.77,5,4,1
143,0.75,334.75,6,5,1
143,0,340,7,6,1
144,0,348,0,7,1
145,0.75,350.73,8,0,2
145,0.25,356.17,0,8,2
146,0.75,360.42,9,0,3
146,0,365,0,9,3
234,0.25,437.23,16,0,10
234,0,438.5,17,16,10
235,0.75,439.07,0,17,10
160,1,445.2,18,0,11
160,0,450,19,18,11
161,0,452,20,19,11
162,0,453.5,21,20,11
165,0,456.5,22,21,11
168,0.75,465.5,23,22,11
168,0,470,24,23,11
125,0.75,493.57,25,24,11
127,0,501,26,25,11
128,0,513,27,26,11
130,0.25,534,0,27,11
141,0.25,321.2,35,0,13
141,0,323.2,36,35,13
142,0.75,325.65,37,36,13
142,0.25,330.55,38,37,13
143,0.75,334.75,39,38,13
143,0,340,40,39,13
144,0,348,0,40,13
146,0.75,360.42,41,0,14
146,0,365,0,41,14
108,0.25,426.3,42,0,15
235,0,440.8,0,42,15
160,1,445.2,43,0,16
160,0,450,44,43,16
161,0,452,45,44,16
162,0,453.5,46,45,16
165,0,456.5,47,46,16
168,0.75,465.5,48,47,16
168,0,470,49,48,16
125,0.75,493.57,50,49,16
128,0.875,502.5,51,50,16
128,0,513,52,51,16
130,0.75,520,0,52,16
141,0.25,321.2,53,0,17
141,0,323.2,59,53,17
142,0.75,325.65,54,59,17
142,0.33333,329.73,55,54,17
142,0.16667,331.37,56,55,17
143,0.75,334.75,57,56,17
143,0,340,58,57,17
144,0,348,0,58,17
146,0.75,360.42,60,0,18
146,0.25,363.48,0,60,18
108,0.25,426.3,61,0,19
235,0,440.8,0,61,19
160,1,445.2,62,0,20
162,0,453.5,63,62,20
165,0,456.5,64,63,20
168,0,470,65,64,20
125,0.75,493.57,66,65,20
128,0.875,502.5,67,66,20
128,0,513,68,67,20
130,0.75,520,0,68,20
131,1,541,69,0,21
131,0,2500,0,69,21
145,0.75,350.73,78,0,23
145,0.25,356.17,0,78,23
146,0.75,360.42,79,0,24
146,0,365,0,79,24
108,0.25,426.3,80,0,25
235,0,440.8,0,80,25
160,1,445.2,81,0,26
162,0.05,453.43,0,81,26
163,0.95,453.55,82,0,27
168,0,470,83,82,27
125,0.75,493.57,0,83,27
141,0.25,321.2,84,0,28
141,0,323.2,85,84,28
142,0.75,325.65,86,85,28
143,0.75,334.75,87,86,28
143,0,340,88,87,28
144,0,348,0,88,28
145,0.75,350.73,89,0,29
145,0.25,356.17,0,89,29
146,0.75,360.42,90,0,30
146,0,365,0,90,30
100,1,387.7,91,0,31
104,0,419.2,0,91,31
108,0.25,426.3,92,0,32
235,0,440.8,0,92,32
120,1,470,96,0,34
125,0.75,493.57,0,96,34
127,0.75,497.85,97,0,35
128,0,513,0,97,35
141,0.25,321.2,98,0,36
141,0,323.2,99,98,36
142,0.75,325.65,100,99,36
143,0,340,101,100,36
144,0,348,0,101,36
145,0.75,350.73,102,0,37
145,0.25,356.17,0,102,37
100,1,387.7,103,0,38
104,0,419.2,0,103,38
145,0.75,350.73,126,0,41
145,0.25,356.17,0,126,41
146,0.75,360.42,127,0,42
146,0,365,0,127,42
100,1,387.7,128,0,43
104,0,419.2,0,128,43
108,0.25,426.3,129,0,44
235,0,440.8,0,129,44
120,1,470,133,0,46
125,0.75,493.57,134,133,46
128,0.875,502.5,135,134,46
128,0,513,136,135,46
